track_id,file_path,true_mood,true_bpm
track_0,catalog/track_0_energetic.wav,energetic,158
track_1,catalog/track_1_sad.wav,sad,72
track_2,catalog/track_2_sad.wav,sad,85
track_3,catalog/track_3_happy.wav,happy,131
track_4,catalog/track_4_calm.wav,calm,70
track_5,catalog/track_5_energetic.wav,energetic,151
track_6,catalog/track_6_calm.wav,calm,75
track_7,catalog/track_7_happy.wav,happy,126
track_8,catalog/track_8_calm.wav,calm,53
track_9,catalog/track_9_sad.wav,sad,82
track_10,catalog/track_10_calm.wav,calm,55
track_11,catalog/track_11_calm.wav,calm,58
track_12,catalog/track_12_calm.wav,calm,60
track_13,catalog/track_13_calm.wav,calm,76
track_14,catalog/track_14_happy.wav,happy,119
track_15,catalog/track_15_energetic.wav,energetic,136
track_16,catalog/track_16_energetic.wav,energetic,149
track_17,catalog/track_17_happy.wav,happy,125
track_18,catalog/track_18_energetic.wav,energetic,165
track_19,catalog/track_19_energetic.wav,energetic,172
track_20,catalog/track_20_happy.wav,happy,128
track_21,catalog/track_21_sad.wav,sad,62
track_22,catalog/track_22_energetic.wav,energetic,138
track_23,catalog/track_23_energetic.wav,energetic,139
track_24,catalog/track_24_happy.wav,happy,117
track_25,catalog/track_25_calm.wav,calm,77
track_26,catalog/track_26_energetic.wav,energetic,151
track_27,catalog/track_27_energetic.wav,energetic,137
track_28,catalog/track_28_calm.wav,calm,58
track_29,catalog/track_29_calm.wav,calm,50
track_30,catalog/track_30_happy.wav,happy,108
track_31,catalog/track_31_happy.wav,happy,111
track_32,catalog/track_32_calm.wav,calm,78
track_33,catalog/track_33_calm.wav,calm,57
track_34,catalog/track_34_sad.wav,sad,77
track_35,catalog/track_35_energetic.wav,energetic,149
track_36,catalog/track_36_sad.wav,sad,65
track_37,catalog/track_37_happy.wav,happy,123
track_38,catalog/track_38_energetic.wav,energetic,177
track_39,catalog/track_39_happy.wav,happy,128
